	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
Action-directive|Action-directive	0.000000	0.000000	0.036594	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.005435	0.000000	0.056522	0.000000	0.000000	0.000000	0.000000	0.024638	0.026268
Action-directive|Quotation	0.000000	0.000000	0.008152	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152
Action-directive|Rhetorical-Question	0.000000	0.000000	0.027174	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.010870	0.000000	0.000000	0.000000	0.005435	0.000000
Action-directive|Statement-non-opinion	0.000000	0.000000	0.022101	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000543	0.017663	0.000000	0.000000	0.004167	0.000000	0.186232	0.002717	0.000000	0.000000	0.000000	0.037138	0.055525
Action-directive|Wh-Question	0.000000	0.000000	0.007246	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018116	0.000000	0.000000	0.024457	0.000000	0.050725	0.000000	0.000000	0.000000	0.000000	0.019022	0.021739
Action-directive|Yes-No-Question	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013587	0.000000	0.040761	0.000000	0.000000	0.000000	0.000000	0.043478	0.038043
Collaborative Completion|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.032609	0.000000	0.000000	0.000000	0.000000	0.016304	0.010870
Conventional-opening|Statement-non-opinion	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.005435	0.021739
Declarative Yes-No-Question|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870
Hold Before Answer/Agreement|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435
Open-Question|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000	0.005435	0.000000	0.000000	0.000000	0.005435	0.021739	0.005435
Other|Statement-non-opinion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.026087	0.000000	0.000000	0.000000	0.000000	0.005435	0.001087
Quotation|Action-directive	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000
Quotation|Rhetorical-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.016304	0.005435
Quotation|Statement-non-opinion	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.004529	0.000000	0.000000	0.021739	0.000000	0.124094	0.000000	0.000000	0.000000	0.000000	0.032609	0.001812
Quotation|Wh-Question	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.008152	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.035326	0.010870
Quotation|Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.000000	0.013587	0.002717	0.000000	0.000000	0.000000	0.021739	0.010870
Repeat-phrase|Wh-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.005435	0.000000	0.005435
Rhetorical-Question|Action-directive	0.000000	0.000000	0.038043	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.005435	0.000000	0.038043	0.000000	0.000000	0.000000	0.000000	0.016304	0.032609
Rhetorical-Question|Downplayer	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.008152	0.005435
Rhetorical-Question|Open-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.005435	0.005435	0.000000
Rhetorical-Question|Quotation	0.000000	0.000000	0.016304	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000	0.000000	0.016304	0.000000	0.010870	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000
Rhetorical-Question|Rhetorical-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001087	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.005435	0.000000	0.000000	0.028804	0.000000	0.093297	0.000000	0.000000	0.000000	0.005435	0.042572	0.035326
Rhetorical-Question|Statement-non-opinion	0.000000	0.000000	0.010870	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.040761	0.000000	0.169384	0.001812	0.000000	0.000000	0.005435	0.037138	0.049819
Rhetorical-Question|Uninterpretable	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.021739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Rhetorical-Question|Wh-Question	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013587	0.000000	0.000000	0.039855	0.000000	0.093297	0.000000	0.000000	0.000000	0.000000	0.085145	0.039855
Rhetorical-Question|Yes-No-Question	0.000000	0.000000	0.024457	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.010870	0.000000	0.000000	0.019022	0.000000	0.000000	0.008152	0.000000	0.048913	0.005435	0.000000	0.000000	0.000000	0.057065	0.070652
Statement-non-opinion|Action-directive	0.000000	0.000000	0.048913	0.000000	0.000000	0.000000	0.000906	0.000000	0.000000	0.002717	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000776	0.006793	0.000000	0.000000	0.024457	0.000000	0.147774	0.002717	0.000000	0.000000	0.000000	0.033514	0.014040
Statement-non-opinion|Collaborative Completion	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.005435	0.000000	0.000000	0.048913	0.000000	0.000000	0.000000	0.000000	0.000000	0.010870
