	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
3rd-party-talk	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Acknowledge (Backchannel)	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Action-directive	0.000000	0.000000	0.076337	0.000000	0.000000	0.000000	0.064962	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006098	0.000000	0.000000	0.013720	0.000000	0.000000	0.036077	0.000000	0.259783	0.004065	0.000000	0.000000	0.000000	0.062561	0.098348
Agree/Accept	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Apology	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Appreciation	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Collaborative Completion	0.000000	0.000000	0.006098	0.000000	0.000000	0.000000	0.006098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.073171	0.000000	0.000000	0.000000	0.000000	0.036585	0.000000
Conventional-closing	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Conventional-opening	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195
Declarative Yes-No-Question	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.036585	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195
Downplayer	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.060976	0.000000	0.000000	0.000000	0.000000	0.012195	0.000000
Hold Before Answer/Agreement	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.012195	0.012195
No Answers	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Offers, Options, Commits	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Open-Question	0.012195	0.000000	0.085366	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006098	0.000000	0.195122	0.000000	0.000000	0.000000	0.024390	0.158537	0.067073
Or-Clause	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Other	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006098	0.000000	0.000000	0.042683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Quotation	0.000000	0.000000	0.006098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.018293	0.000000	0.000000	0.000000	0.000000	0.000000	0.118902	0.000000	0.134146	0.000000	0.000000	0.000000	0.000000	0.018293	0.009146
Reject	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Repeat-phrase	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.048780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Rhetorical-Question	0.000000	0.000000	0.016260	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003049	0.000000	0.000000	0.000000	0.000000	0.019019	0.000000	0.000000	0.014344	0.000000	0.000000	0.052758	0.000000	0.211731	0.002033	0.000000	0.000000	0.021748	0.110889	0.035976
Signal-non-understanding	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Statement-non-opinion	0.000000	0.000000	0.088031	0.000000	0.000000	0.001524	0.000297	0.000000	0.000000	0.003388	0.004530	0.000000	0.000000	0.000000	0.053681	0.000000	0.003726	0.020523	0.000000	0.002910	0.052061	0.000000	0.415445	0.028725	0.000000	0.002033	0.002918	0.125713	0.072544
Statement-opinion	0.000000	0.000000	0.012195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.006098	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.085366	0.000000	0.000000	0.000000	0.000000	0.012195	0.140244
