	3rd-party-talk	Acknowledge (Backchannel)	Action-directive	Agree/Accept	Apology	Appreciation	Collaborative Completion	Conventional-closing	Conventional-opening	Declarative Yes-No-Question	Downplayer	Hold Before Answer/Agreement	No Answers	Offers, Options, Commits	Open-Question	Or-Clause	Other	Quotation	Reject	Repeat-phrase	Rhetorical-Question	Signal-non-understanding	Statement-non-opinion	Statement-opinion	Summarize/Reformulate	Thanking	Uninterpretable	Wh-Question	Yes-No-Question
3rd-party-talk	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Acknowledge (Backchannel)	0.000000	0.000695	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003573	0.000000	0.000000	0.000000	0.001092	0.001191	0.000000
Action-directive	0.000000	0.000437	0.063905	0.000068	0.001092	0.001248	0.007946	0.000000	0.000372	0.001092	0.000637	0.000218	0.000000	0.000000	0.000546	0.000000	0.001280	0.014999	0.000000	0.001820	0.016840	0.000000	0.302823	0.007855	0.000432	0.000000	0.003753	0.043655	0.050819
Agree/Accept	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.002729	0.000546
Apology	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002183	0.000000	0.000000	0.000000	0.000000	0.002183	0.002183
Appreciation	0.000000	0.000000	0.000546	0.000000	0.000000	0.000546	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.001092	0.004913	0.000000	0.000000	0.000000	0.000000	0.001638	0.000000
Collaborative Completion	0.000000	0.000000	0.017467	0.000000	0.000000	0.001092	0.003275	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.002183	0.000000	0.000546	0.000546	0.000000	0.002729	0.003639	0.000000	0.072962	0.001092	0.000000	0.000000	0.001092	0.012009	0.004731
Conventional-closing	0.000000	0.000000	0.003275	0.000000	0.000000	0.000364	0.001092	0.000728	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.006550	0.000000	0.000000	0.000000	0.000000	0.002183	0.001092
Conventional-opening	0.000000	0.000000	0.003275	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004367	0.000000	0.000000	0.000000	0.000000	0.024563	0.000000	0.000000	0.000000	0.000000	0.006004	0.003275
Declarative Yes-No-Question	0.000000	0.000000	0.004913	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000546	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.003275	0.000000	0.019105	0.001092	0.000000	0.000000	0.000000	0.005459	0.008188
Downplayer	0.000000	0.000000	0.004913	0.000000	0.000000	0.000000	0.001092	0.000364	0.000000	0.000000	0.000910	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.002183	0.000000	0.000000	0.006459	0.000000	0.032387	0.000000	0.000000	0.000000	0.000000	0.004094	0.006550
Hold Before Answer/Agreement	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.002547	0.000000	0.010189	0.000000	0.000000	0.000000	0.000000	0.002547	0.001092
No Answers	0.000000	0.000000	0.001638	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.003821	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Offers, Options, Commits	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.001092	0.000000	0.000000	0.000000	0.000000	0.002183	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
