cluster,from,to,count,prop_from
0,Statement-non-opinion,Statement-non-opinion,1106,0.5833
0,Statement-non-opinion,Yes-No-Question,187,0.0986
0,Statement-non-opinion,Wh-Question,172,0.0907
0,Wh-Question,Statement-non-opinion,164,0.4397
0,Yes-No-Question,Statement-non-opinion,161,0.388
0,Statement-non-opinion,Action-directive,149,0.0786
0,Action-directive,Statement-non-opinion,147,0.5365
0,Rhetorical-Question,Statement-non-opinion,104,0.4245
0,Statement-non-opinion,Rhetorical-Question,97,0.0512
0,Yes-No-Question,Yes-No-Question,88,0.212
0,Wh-Question,Wh-Question,68,0.1823
0,Quotation,Statement-non-opinion,64,0.5378
0,Statement-non-opinion,Quotation,56,0.0295
0,Yes-No-Question,Wh-Question,49,0.1181
0,Wh-Question,Yes-No-Question,46,0.1233
0,Yes-No-Question,Action-directive,41,0.0988
0,Rhetorical-Question,Yes-No-Question,40,0.1633
0,Yes-No-Question,Rhetorical-Question,40,0.0964
0,Action-directive,Yes-No-Question,34,0.1241
0,Wh-Question,Rhetorical-Question,32,0.0858
0,Action-directive,Action-directive,31,0.1131
0,Rhetorical-Question,Rhetorical-Question,31,0.1265
0,Statement-non-opinion,Statement-opinion,28,0.0148
0,Downplayer,Statement-non-opinion,27,0.6
0,Rhetorical-Question,Wh-Question,26,0.1061
1,Statement-non-opinion,Statement-non-opinion,178,0.957
1,Statement-non-opinion,Action-directive,5,0.0269
1,Statement-non-opinion,Yes-No-Question,2,0.0108
1,Statement-non-opinion,Wh-Question,1,0.0054
1,Uninterpretable,Uninterpretable,1,0.5
1,Uninterpretable,Statement-non-opinion,1,0.5
2,Statement-non-opinion,Statement-non-opinion,436,0.6202
2,Statement-non-opinion,Wh-Question,103,0.1465
2,Wh-Question,Statement-non-opinion,93,0.4286
2,Statement-non-opinion,Yes-No-Question,74,0.1053
2,Yes-No-Question,Statement-non-opinion,72,0.507
2,Wh-Question,Wh-Question,60,0.2765
2,Statement-non-opinion,Action-directive,52,0.074
2,Action-directive,Statement-non-opinion,51,0.6538
2,Wh-Question,Yes-No-Question,41,0.1889
2,Yes-No-Question,Wh-Question,30,0.2113
2,Yes-No-Question,Yes-No-Question,26,0.1831
2,Rhetorical-Question,Statement-non-opinion,20,0.4082
2,Statement-non-opinion,Rhetorical-Question,19,0.027
2,Action-directive,Wh-Question,16,0.2051
2,Wh-Question,Rhetorical-Question,15,0.0691
2,Rhetorical-Question,Wh-Question,14,0.2857
2,Statement-non-opinion,Quotation,11,0.0156
2,Quotation,Statement-non-opinion,8,0.6667
2,Rhetorical-Question,Rhetorical-Question,8,0.1633
2,Action-directive,Action-directive,7,0.0897
2,Rhetorical-Question,Yes-No-Question,5,0.102
2,Yes-No-Question,Action-directive,5,0.0352
2,Yes-No-Question,Conventional-closing,4,0.0282
2,Action-directive,Yes-No-Question,4,0.0513
2,Yes-No-Question,Rhetorical-Question,4,0.0282
3,Statement-non-opinion,Statement-non-opinion,376,0.6384
3,Statement-non-opinion,Rhetorical-Question,58,0.0985
3,Statement-non-opinion,Action-directive,54,0.0917
3,Action-directive,Statement-non-opinion,52,0.5361
3,Rhetorical-Question,Statement-non-opinion,52,0.4522
3,Wh-Question,Statement-non-opinion,40,0.4706
3,Statement-non-opinion,Wh-Question,40,0.0679
3,Statement-non-opinion,Yes-No-Question,33,0.056
3,Yes-No-Question,Statement-non-opinion,31,0.4079
3,Yes-No-Question,Yes-No-Question,28,0.3684
3,Rhetorical-Question,Wh-Question,22,0.1913
3,Action-directive,Action-directive,22,0.2268
3,Rhetorical-Question,Rhetorical-Question,20,0.1739
3,Action-directive,Rhetorical-Question,14,0.1443
3,Rhetorical-Question,Action-directive,14,0.1217
3,Wh-Question,Rhetorical-Question,14,0.1647
3,Wh-Question,Wh-Question,14,0.1647
3,Quotation,Statement-non-opinion,12,0.8
3,Statement-non-opinion,Quotation,9,0.0153
3,Yes-No-Question,Wh-Question,7,0.0921
3,Wh-Question,Yes-No-Question,7,0.0824
3,Wh-Question,Action-directive,6,0.0706
3,Statement-non-opinion,Statement-opinion,6,0.0102
3,Action-directive,Wh-Question,5,0.0515
3,Yes-No-Question,Action-directive,5,0.0658
4,Statement-non-opinion,Statement-non-opinion,1094,0.6368
4,Statement-non-opinion,Yes-No-Question,151,0.0879
4,Yes-No-Question,Statement-non-opinion,140,0.4912
4,Wh-Question,Statement-non-opinion,127,0.4961
4,Action-directive,Statement-non-opinion,125,0.5319
