from_cluster,to_cluster,count,from_topic,to_topic
1.0,4.0,4,a1,a2
1.0,5.0,4,a1,a2
0.0,4.0,4,a1,a2
0.0,5.0,4,a1,a2
1.0,0.0,4,a1,a2
1.0,1.0,4,a1,a2
5.0,0.0,4,a1,a2
1.0,3.0,4,a1,a2
3.0,5.0,3,a1,a2
4.0,5.0,2,a1,a2
0.0,3.0,2,a1,a2
5.0,3.0,2,a1,a2
4.0,0.0,1,a1,a2
5.0,1.0,1,a1,a2
4.0,4.0,1,a1,a2
4.0,3.0,1,a1,a2
4.0,2.0,1,a1,a2
0.0,0.0,1,a1,a2
3.0,4.0,1,a1,a2
3.0,3.0,1,a1,a2
3.0,1.0,1,a1,a2
2.0,2.0,1,a1,a2
2.0,0.0,1,a1,a2
1.0,2.0,1,a1,a2
2.0,5.0,1,a1,a2
0.0,5.0,11,a2,a3
4.0,4.0,10,a2,a3
0.0,0.0,9,a2,a3
5.0,0.0,8,a2,a3
4.0,5.0,8,a2,a3
3.0,4.0,8,a2,a3
3.0,3.0,7,a2,a3
3.0,0.0,6,a2,a3
0.0,4.0,6,a2,a3
3.0,5.0,6,a2,a3
5.0,4.0,4,a2,a3
5.0,5.0,4,a2,a3
1.0,5.0,3,a2,a3
4.0,0.0,3,a2,a3
1.0,4.0,3,a2,a3
3.0,2.0,2,a2,a3
4.0,1.0,2,a2,a3
4.0,3.0,2,a2,a3
5.0,1.0,2,a2,a3
1.0,0.0,2,a2,a3
2.0,5.0,1,a2,a3
0.0,3.0,1,a2,a3
2.0,4.0,1,a2,a3
2.0,1.0,1,a2,a3
1.0,2.0,1,a2,a3
1.0,1.0,1,a2,a3
3.0,1.0,1,a2,a3
4.0,4.0,14,a3,a4
0.0,0.0,11,a3,a4
5.0,5.0,10,a3,a4
4.0,3.0,9,a3,a4
5.0,4.0,7,a3,a4
0.0,5.0,6,a3,a4
5.0,0.0,6,a3,a4
0.0,3.0,6,a3,a4
4.0,0.0,6,a3,a4
3.0,5.0,6,a3,a4
3.0,4.0,6,a3,a4
5.0,3.0,5,a3,a4
4.0,5.0,5,a3,a4
1.0,4.0,4,a3,a4
0.0,4.0,3,a3,a4
4.0,1.0,3,a3,a4
3.0,0.0,3,a3,a4
0.0,1.0,3,a3,a4
2.0,4.0,2,a3,a4
5.0,1.0,2,a3,a4
3.0,3.0,1,a3,a4
2.0,5.0,1,a3,a4
2.0,3.0,1,a3,a4
2.0,1.0,1,a3,a4
2.0,0.0,1,a3,a4
1.0,5.0,1,a3,a4
1.0,3.0,1,a3,a4
1.0,1.0,1,a3,a4
1.0,0.0,1,a3,a4
3.0,2.0,1,a3,a4
5.0,3.0,11,a4,a5
4.0,3.0,10,a4,a5
3.0,3.0,9,a4,a5
4.0,4.0,9,a4,a5
3.0,4.0,8,a4,a5
0.0,3.0,8,a4,a5
5.0,0.0,8,a4,a5
0.0,5.0,7,a4,a5
4.0,0.0,6,a4,a5
5.0,5.0,6,a4,a5
0.0,0.0,5,a4,a5
3.0,0.0,4,a4,a5
4.0,1.0,4,a4,a5
3.0,5.0,3,a4,a5
1.0,3.0,3,a4,a5
5.0,1.0,3,a4,a5
4.0,5.0,2,a4,a5
0.0,1.0,2,a4,a5
0.0,2.0,2,a4,a5
5.0,4.0,1,a4,a5
0.0,4.0,1,a4,a5
1.0,5.0,1,a4,a5
1.0,0.0,1,a4,a5
1.0,1.0,1,a4,a5
2.0,5.0,1,a4,a5
1.0,4.0,1,a4,a5
4.0,2.0,1,a4,a5
3.0,3.0,13,a5,a6
0.0,0.0,9,a5,a6
5.0,0.0,9,a5,a6
4.0,3.0,8,a5,a6
3.0,5.0,6,a5,a6
0.0,3.0,5,a5,a6
4.0,0.0,5,a5,a6
3.0,4.0,5,a5,a6
3.0,2.0,4,a5,a6
4.0,4.0,4,a5,a6
5.0,5.0,4,a5,a6
0.0,5.0,4,a5,a6
5.0,3.0,3,a5,a6
0.0,1.0,3,a5,a6
1.0,3.0,3,a5,a6
1.0,2.0,2,a5,a6
5.0,1.0,2,a5,a6
0.0,4.0,2,a5,a6
3.0,1.0,2,a5,a6
3.0,0.0,2,a5,a6
1.0,1.0,1,a5,a6
2.0,4.0,1,a5,a6
1.0,4.0,1,a5,a6
4.0,5.0,1,a5,a6
0.0,2.0,1,a5,a6
1.0,5.0,1,a5,a6
5.0,2.0,1,a5,a6
5.0,4.0,1,a5,a6
2.0,3.0,1,a5,a6
0.0,0.0,10,a6,a7
3.0,0.0,10,a6,a7
3.0,4.0,8,a6,a7
5.0,5.0,7,a6,a7
3.0,3.0,6,a6,a7
3.0,5.0,6,a6,a7
4.0,5.0,4,a6,a7
4.0,3.0,4,a6,a7
4.0,0.0,4,a6,a7
0.0,5.0,3,a6,a7
5.0,4.0,3,a6,a7
5.0,3.0,3,a6,a7
4.0,4.0,3,a6,a7
0.0,3.0,3,a6,a7
5.0,2.0,2,a6,a7
5.0,0.0,2,a6,a7
0.0,4.0,2,a6,a7
0.0,1.0,2,a6,a7
2.0,5.0,2,a6,a7
2.0,1.0,2,a6,a7
1.0,5.0,2,a6,a7
1.0,0.0,2,a6,a7
3.0,2.0,1,a6,a7
0.0,2.0,1,a6,a7
2.0,4.0,1,a6,a7
2.0,3.0,1,a6,a7
5.0,1.0,1,a6,a7
1.0,4.0,1,a6,a7
1.0,2.0,1,a6,a7
3.0,1.0,1,a6,a7
